"Notes"	"Census Region"	"Census Region Code"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Male"	"M"	"2023"	"2023"	141	746542	18.9	15.8	22.0
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Male"	"M"	"2024 "	"2024"	161	783149	20.6	17.4	23.7
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Male"	"M"			685	3646429	18.8	17.4	20.2
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"					1237	7402614	16.7	15.8	17.6
"Total"	"Census Region 1: Northeast"	"CENS-R1"							612557	284866565	215.0	214.5	215.6
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2020"	"2020"	253	301031	84.0	73.7	94.4
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2021"	"2021"	256	306706	83.5	73.2	93.7
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2022"	"2022"	283	303663	93.2	82.3	104.1
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2023"	"2023"	250	312491	80.0	70.1	89.9
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2024 "	"2024"	264	325469	81.1	71.3	90.9
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"			1306	1549360	84.3	79.7	88.9
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2020"	"2020"	384	304912	125.9	113.3	138.5
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2021"	"2021"	378	312603	120.9	108.7	133.1
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2022"	"2022"	385	310956	123.8	111.4	136.2
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2023"	"2023"	364	318327	114.3	102.6	126.1
	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2024 "	"2024"	411	333694	123.2	111.3	135.1
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"			1922	1580492	121.6	116.2	127.0
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"American Indian or Alaska Native"	"1002-5"					3228	3129852	103.1	99.6	106.7
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Female"	"F"	"2020"	"2020"	633	1262467	50.1	46.2	54.0
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Female"	"F"	"2021"	"2021"	651	1279070	50.9	47.0	54.8
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Female"	"F"	"2022"	"2022"	634	1307311	48.5	44.7	52.3
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Female"	"F"	"2023"	"2023"	621	1328693	46.7	43.1	50.4
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Female"	"F"	"2024 "	"2024"	608	1450682	41.9	38.6	45.2
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Female"	"F"			3147	6628223	47.5	45.8	49.1
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Male"	"M"	"2020"	"2020"	835	1203788	69.4	64.7	74.1
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Male"	"M"	"2021"	"2021"	758	1229759	61.6	57.3	66.0
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Male"	"M"	"2022"	"2022"	859	1264027	68.0	63.4	72.5
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Male"	"M"	"2023"	"2023"	858	1275913	67.2	62.7	71.7
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Male"	"M"	"2024 "	"2024"	854	1393785	61.3	57.2	65.4
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"Male"	"M"			4164	6367272	65.4	63.4	67.4
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"					7311	12995495	56.3	55.0	57.5
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Female"	"F"	"2020"	"2020"	8071	3871457	208.5	203.9	213.0
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Female"	"F"	"2021"	"2021"	7738	3901979	198.3	193.9	202.7
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Female"	"F"	"2022"	"2022"	7570	3907342	193.7	189.4	198.1
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Female"	"F"	"2023"	"2023"	7036	3930592	179.0	174.8	183.2
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Female"	"F"	"2024 "	"2024"	7409	3998949	185.3	181.1	189.5
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Female"	"F"			37824	19610319	192.9	190.9	194.8
